Time	LLRF:BRD2:NTC2:TEMP [degC]	LLRF:BRD2:NTC0:TEMP [degC]	LLRF:BRD2:NTC1:TEMP [degC]	LLRF:BRD3:NTC0:TEMP [degC]	LLRF:BRD3:NTC2:TEMP [degC]	LLRF:BRD3:NTC1:TEMP [degC]	LLRF:BRD1:NTC1:TEMP [degC]	LLRF:BRD1:NTC2:TEMP [degC]	LLRF:BRD1:NTC3:TEMP [degC]	LLRF:BRD1:NTC0:TEMP [degC]	
08/29/2022 14:47:53.569748	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:53.668184	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:53.766682	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:53.865547	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:53.964422	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.062751	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.161082	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.259501	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.357813	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.456184	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.554517	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.652920	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.751402	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.849809	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:54.948318	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
